time,c1,q1,axis1_deg,c2,q2,axis2_deg
9220,3900.0,0.949999988079071,160.0,-3590.0,0.949999988079071,100.0
9240,3870.0,0.8999999761581421,40.0,-3650.0,0.949999988079071,80.0
9260,3790.0,0.949999988079071,0.0,-3610.0,0.949999988079071,60.0
9280,3890.0,0.8999999761581421,60.0,-3680.0,0.949999988079071,120.0
9300,3850.0,0.949999988079071,40.0,-3590.0,0.8999999761581421,120.0
9320,3870.0,0.8500000238418579,0.0,-3600.0,0.949999988079071,160.0
9340,3860.0,0.949999988079071,60.0,-3650.0,0.949999988079071,100.0
9360,3880.0,0.949999988079071,0.0,-3650.0,0.949999988079071,80.0
9380,3840.0,0.949999988079071,100.0,-3580.0,0.949999988079071,140.0
9400,3760.0,0.75,0.0,-3590.0,0.949999988079071,100.0
9420,3830.0,0.8999999761581421,60.0,-3640.0,0.949999988079071,60.0
9440,3800.0,0.8999999761581421,60.0,-3610.0,0.949999988079071,100.0
9460,3870.0,0.8500000238418579,60.0,-3640.0,0.949999988079071,80.0
9480,3920.0,0.949999988079071,80.0,-3600.0,1.0,0.0
9500,3870.0,0.949999988079071,60.0,-3600.0,0.949999988079071,140.0
9520,3800.0,0.949999988079071,20.0,-3640.0,0.949999988079071,80.0
9540,3740.0,0.8999999761581421,60.0,-3630.0,1.0,20.0
9560,3810.0,0.75,0.0,-3670.0,0.949999988079071,100.0
9580,3870.0,0.949999988079071,40.0,-3620.0,0.949999988079071,120.0
9600,3880.0,0.8500000238418579,60.0,-3580.0,1.0,0.0
9620,3860.0,0.8500000238418579,60.0,-3610.0,0.949999988079071,140.0
9640,3780.0,0.8999999761581421,80.0,-3670.0,0.949999988079071,40.0
9660,3840.0,0.8999999761581421,60.0,-3600.0,0.8999999761581421,140.0
9680,3800.0,0.949999988079071,60.0,-3570.0,0.949999988079071,60.0
9700,3760.0,0.949999988079071,80.0,-3570.0,0.949999988079071,80.0
9720,3850.0,0.949999988079071,80.0,-3670.0,1.0,60.0
9740,3820.0,0.949999988079071,20.0,-3620.0,0.949999988079071,100.0
9760,3860.0,0.949999988079071,60.0,-3610.0,0.8999999761581421,140.0
9780,3860.0,0.8999999761581421,60.0,-3600.0,0.949999988079071,100.0
9800,3900.0,0.8999999761581421,40.0,-3600.0,0.949999988079071,80.0
9820,3900.0,0.949999988079071,60.0,-3600.0,0.949999988079071,80.0
9840,3810.0,0.8999999761581421,60.0,-3630.0,0.949999988079071,80.0
9860,3900.0,0.699999988079071,0.0,-3640.0,0.949999988079071,80.0
