time,c1,q1,axis1_deg
8180,1890.0,1.0,0.0
8200,1950.0,1.0,0.0
8220,1910.0,1.0,0.0
8240,1970.0,1.0,0.0
8260,1930.0,1.0,0.0
8280,1890.0,1.0,0.0
8300,1970.0,1.0,0.0
8320,1930.0,1.0,0.0
8340,1910.0,1.0,0.0
8360,1890.0,1.0,0.0
8380,1910.0,1.0,0.0
8400,1980.0,1.0,0.0
8420,1930.0,1.0,0.0
8440,1980.0,1.0,0.0
8460,1940.0,1.0,0.0
8480,1900.0,1.0,0.0
8500,1910.0,1.0,0.0
8520,1890.0,1.0,0.0
8540,1960.0,1.0,0.0
8560,1930.0,1.0,0.0
8580,1880.0,1.0,0.0
8600,1840.0,1.0,0.0
8620,1940.0,1.0,0.0
8640,1990.0,1.0,0.0
8660,1980.0,1.0,0.0
8680,1910.0,1.0,0.0
8700,1910.0,1.0,0.0
8720,1930.0,1.0,0.0
8740,1900.0,1.0,0.0
8760,1950.0,1.0,0.0
8780,1950.0,1.0,0.0
8800,1930.0,1.0,0.0
8820,1940.0,1.0,0.0
8840,1940.0,1.0,0.0
8860,1920.0,1.0,0.0
8880,1920.0,1.0,0.0
8900,1950.0,1.0,0.0
8920,1930.0,1.0,0.0
8940,1880.0,1.0,0.0
8960,1950.0,1.0,0.0
8980,1910.0,1.0,0.0
9000,1910.0,1.0,0.0
9020,1930.0,1.0,0.0
9040,1960.0,1.0,0.0
9060,1870.0,1.0,0.0
9080,1920.0,1.0,0.0
9100,1910.0,1.0,0.0
9120,1920.0,1.0,0.0
9140,1920.0,1.0,0.0
9160,1900.0,1.0,0.0
9180,1960.0,1.0,0.0
9200,1990.0,1.0,0.0
9220,1900.0,1.0,0.0
9240,1960.0,1.0,0.0
9260,1920.0,1.0,0.0
9280,1940.0,1.0,0.0
9300,1960.0,1.0,0.0
9320,1860.0,1.0,0.0
9340,1930.0,1.0,0.0
9360,1930.0,1.0,0.0
9380,1910.0,1.0,0.0
9400,1890.0,1.0,0.0
9420,1930.0,1.0,0.0
9440,1890.0,1.0,0.0
9460,1900.0,1.0,0.0
9480,1880.0,1.0,0.0
9500,1910.0,1.0,0.0
9520,1960.0,1.0,0.0
9540,1930.0,1.0,0.0
9560,1910.0,1.0,0.0
9580,1920.0,1.0,0.0
9600,1970.0,1.0,0.0
9620,1960.0,1.0,0.0
9640,1920.0,1.0,0.0
9660,1960.0,1.0,0.0
9680,1950.0,1.0,0.0
9700,1920.0,1.0,0.0
9720,1920.0,1.0,0.0
9740,1970.0,1.0,0.0
9760,1880.0,1.0,0.0
9780,1930.0,1.0,0.0
9800,1910.0,1.0,0.0
9820,1900.0,1.0,0.0
9840,1920.0,1.0,0.0
9860,1900.0,1.0,0.0
9880,1910.0,1.0,0.0
9900,1940.0,1.0,0.0
9920,1930.0,1.0,0.0
9940,1910.0,1.0,0.0
9960,1960.0,1.0,0.0
9980,1900.0,1.0,0.0
10000,1910.0,1.0,0.0
10020,1910.0,1.0,0.0
10040,1910.0,1.0,0.0
10060,1890.0,1.0,0.0
10080,1960.0,1.0,0.0
10100,1880.0,1.0,0.0
10120,1910.0,1.0,0.0
10140,1980.0,1.0,0.0
10160,1910.0,1.0,0.0
10180,1940.0,1.0,0.0
10200,1920.0,1.0,0.0
10220,1940.0,1.0,0.0
10240,1970.0,1.0,0.0
10260,1940.0,1.0,0.0
10280,1900.0,1.0,0.0
10300,1950.0,1.0,0.0
10320,1910.0,1.0,0.0
10340,1970.0,1.0,0.0
10360,1920.0,1.0,0.0
10380,1950.0,1.0,0.0
10400,1940.0,1.0,0.0
10420,1930.0,1.0,0.0
10440,1870.0,1.0,0.0
10460,1900.0,1.0,0.0
10480,1940.0,1.0,0.0
10500,1940.0,1.0,0.0
10520,1920.0,1.0,0.0
10540,1960.0,1.0,0.0
10560,1870.0,1.0,0.0
10580,1950.0,1.0,0.0
10600,1880.0,1.0,0.0
10620,1890.0,1.0,0.0
10640,1930.0,1.0,0.0
10660,1890.0,1.0,0.0
10680,1940.0,1.0,0.0
10700,2000.0,1.0,0.0
10720,1980.0,1.0,0.0
10740,1950.0,1.0,0.0
10760,1830.0,1.0,0.0
10780,1920.0,1.0,0.0
10800,1960.0,1.0,0.0
10820,1950.0,1.0,0.0
10840,1970.0,1.0,0.0
10860,1910.0,1.0,0.0
10880,1960.0,1.0,0.0
10900,1930.0,1.0,0.0
10920,1910.0,1.0,0.0
10940,1930.0,1.0,0.0
10960,1950.0,1.0,0.0
10980,1950.0,1.0,0.0
11000,1950.0,1.0,0.0
11020,1930.0,1.0,0.0
11040,1920.0,1.0,0.0
11060,1930.0,1.0,0.0
11080,1900.0,1.0,0.0
11100,1940.0,1.0,0.0
11120,1940.0,1.0,0.0
11140,1970.0,1.0,0.0
11160,1990.0,1.0,0.0
11180,1940.0,1.0,0.0
11200,1960.0,1.0,0.0
11220,1930.0,1.0,0.0
11240,1910.0,1.0,0.0
11260,1930.0,1.0,0.0
11280,1960.0,1.0,0.0
11300,1920.0,1.0,0.0
11320,1980.0,1.0,0.0
11340,1950.0,1.0,0.0
11360,1970.0,1.0,0.0
11380,1930.0,1.0,0.0
11400,1920.0,1.0,0.0
11420,1950.0,1.0,0.0
11440,1900.0,1.0,0.0
11460,1900.0,1.0,0.0
11480,1980.0,1.0,0.0
11500,1940.0,1.0,0.0
11520,1940.0,1.0,0.0
11540,1940.0,1.0,0.0
11560,1950.0,1.0,0.0
11580,1880.0,1.0,0.0
11600,1920.0,1.0,0.0
11620,1930.0,1.0,0.0
11640,1900.0,1.0,0.0
11660,1950.0,1.0,0.0
11680,1930.0,1.0,0.0
11700,1930.0,1.0,0.0
11720,1950.0,1.0,0.0
11740,1920.0,1.0,0.0
11760,1970.0,1.0,0.0
11780,1960.0,1.0,0.0
11800,1910.0,1.0,0.0
11820,1920.0,1.0,0.0
11840,1960.0,1.0,0.0
11860,1920.0,1.0,0.0
11880,1930.0,1.0,0.0
11900,1910.0,1.0,0.0
11920,2010.0,1.0,0.0
11940,1950.0,1.0,0.0
11960,1930.0,1.0,0.0
11980,1980.0,1.0,0.0
12000,1910.0,1.0,0.0
12020,1900.0,1.0,0.0
12040,1880.0,1.0,0.0
12060,1940.0,1.0,0.0
12080,1910.0,1.0,0.0
12100,1920.0,1.0,0.0
12120,1920.0,1.0,0.0
12140,1950.0,1.0,0.0
12160,1940.0,1.0,0.0
12180,1960.0,1.0,0.0
12200,1960.0,1.0,0.0
12220,1930.0,1.0,0.0
12240,1910.0,1.0,0.0
12260,1900.0,1.0,0.0
12280,1880.0,1.0,0.0
12300,1900.0,1.0,0.0
12320,1970.0,1.0,0.0
12340,1920.0,1.0,0.0
12360,1880.0,1.0,0.0
12380,1890.0,1.0,0.0
12400,1890.0,1.0,0.0
12420,1970.0,1.0,0.0
12440,1940.0,1.0,0.0
12460,1920.0,1.0,0.0
12480,1930.0,1.0,0.0
12500,1960.0,1.0,0.0
12520,1890.0,1.0,0.0
12540,1940.0,1.0,0.0
12560,1950.0,1.0,0.0
12580,1920.0,1.0,0.0
12600,1930.0,1.0,0.0
12620,1900.0,1.0,0.0
12640,1990.0,1.0,0.0
12660,1950.0,1.0,0.0
12680,1920.0,1.0,0.0
12700,1960.0,1.0,0.0
12720,1980.0,1.0,0.0
12740,1950.0,1.0,0.0
12760,1860.0,1.0,0.0
12780,1930.0,1.0,0.0
12800,1940.0,1.0,0.0
12820,1950.0,1.0,0.0
12840,1930.0,1.0,0.0
12860,1930.0,1.0,0.0
12880,1950.0,1.0,0.0
12900,1930.0,1.0,0.0
12920,1930.0,1.0,0.0
12940,1960.0,1.0,0.0
12960,1940.0,1.0,0.0
12980,1910.0,1.0,0.0
13000,1940.0,1.0,0.0
13020,1920.0,1.0,0.0
13040,1940.0,1.0,0.0
13060,1950.0,1.0,0.0
13080,1950.0,1.0,0.0
13100,1980.0,1.0,0.0
13120,1920.0,1.0,0.0
13140,1970.0,1.0,0.0
13160,1880.0,1.0,0.0
13180,1970.0,1.0,0.0
13200,1960.0,1.0,0.0
13220,1920.0,1.0,0.0
13240,1920.0,1.0,0.0
13260,1920.0,1.0,0.0
13280,1930.0,1.0,0.0
13300,1900.0,1.0,0.0
13320,1900.0,1.0,0.0
13340,1880.0,1.0,0.0
13360,1960.0,1.0,0.0
13380,2020.0,1.0,0.0
13400,2040.0,1.0,0.0
13420,2010.0,1.0,0.0
13440,2100.0,1.0,0.0
13460,2220.0,1.0,0.0
13480,2250.0,1.0,0.0
13500,2280.0,1.0,0.0
13520,2270.0,1.0,0.0
13540,2330.0,1.0,0.0
13560,2360.0,1.0,0.0
13580,2430.0,1.0,0.0
